timestamp,region,state,latitude,longitude,month,day,hour,day_of_year,temperature,humidity,pressure,wind_speed,rainfall_1h,rainfall_3h,rainfall_6h,rainfall_12h,rainfall_24h,rainfall_72h,soil_moisture_surface,soil_moisture_root,rain_occurrence,rainfall_amount
2025-01-01 00:00:00,Guntur,Andhra Pradesh,16.3067,80.4365,1,1,0,1,29.0,58.0,1009.4,9.6,0.0,0.0,0.0,0.0,0.0,0.0,23.7,31.0,0,0.0
2025-01-01 01:00:00,Guntur,Andhra Pradesh,16.3067,80.4365,1,1,1,1,26.5,64.6,1011.9,8.9,0.0,0.0,0.0,0.0,0.0,0.0,23.8,31.7,0,0.0
2025-01-01 02:00:00,Guntur,Andhra Pradesh,16.3067,80.4365,1,1,2,1,27.8,61.8,1012.1,9.5,0.0,0.0,0.0,0.0,0.0,0.0,25.3,30.4,0,0.0
2025-01-01 03:00:00,Guntur,Andhra Pradesh,16.3067,80.4365,1,1,3,1,29.8,65.8,1013.4,8.8,0.0,0.0,0.0,0.0,0.0,0.0,20.2,34.0,0,0.0
2025-01-01 04:00:00,Guntur,Andhra Pradesh,16.3067,80.4365,1,1,4,1,25.6,54.1,1007.9,17.3,0.0,0.0,0.0,0.0,0.0,0.0,20.7,31.1,0,0.0
2025-01-01 05:00:00,Guntur,Andhra Pradesh,16.3067,80.4365,1,1,5,1,26.2,67.1,1013.8,10.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1,32.3,0,0.0
2025-01-01 06:00:00,Guntur,Andhra Pradesh,16.3067,80.4365,1,1,6,1,31.7,62.7,1003.9,9.1,0.0,0.0,0.0,0.0,0.0,0.0,22.6,30.3,0,0.0
2025-01-01 07:00:00,Guntur,Andhra Pradesh,16.3067,80.4365,1,1,7,1,30.9,53.3,1010.1,10.4,0.0,0.0,0.0,0.0,0.0,0.0,28.2,31.7,0,0.0
2025-01-01 08:00:00,Guntur,Andhra Pradesh,16.3067,80.4365,1,1,8,1,29.3,59.3,1010.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,25.7,28.0,0,0.0
2025-01-01 09:00:00,Guntur,Andhra Pradesh,16.3067,80.4365,1,1,9,1,33.4,56.6,1013.9,13.5,0.0,0.0,0.0,0.0,0.0,0.0,26.8,28.9,0,0.0
2025-01-01 10:00:00,Guntur,Andhra Pradesh,16.3067,80.4365,1,1,10,1,32.4,34.1,1012.1,22.2,0.0,0.0,0.0,0.0,0.0,0.0,29.2,30.9,0,0.0
2025-01-01 11:00:00,Guntur,Andhra Pradesh,16.3067,80.4365,1,1,11,1,33.8,35.7,1007.8,10.3,0.0,0.0,0.0,0.0,0.0,0.0,24.1,30.9,0,0.0
2025-01-01 12:00:00,Guntur,Andhra Pradesh,16.3067,80.4365,1,1,12,1,36.8,31.9,1009.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,23.3,31.3,0,0.0
2025-01-01 13:00:00,Guntur,Andhra Pradesh,16.3067,80.4365,1,1,13,1,32.4,27.8,1012.6,11.3,0.0,0.0,0.0,0.0,0.0,0.0,27.6,32.8,0,0.0
2025-01-01 14:00:00,Guntur,Andhra Pradesh,16.3067,80.4365,1,1,14,1,33.5,38.4,1011.8,8.7,0.0,0.0,0.0,0.0,0.0,0.0,26.5,26.4,0,0.0
2025-01-01 15:00:00,Guntur,Andhra Pradesh,16.3067,80.4365,1,1,15,1,36.6,30.6,1010.3,12.7,0.0,0.0,0.0,0.0,0.0,0.0,24.4,27.6,0,0.0
2025-01-01 16:00:00,Guntur,Andhra Pradesh,16.3067,80.4365,1,1,16,1,35.3,30.8,1010.6,10.9,0.0,0.0,0.0,0.0,0.0,0.0,29.2,30.6,0,0.0
